Store ID,Product ID,Category,Inventory Level,Units Sold,Risk_Flag
S004,P0002,Clothing,462,180,OK
S004,P0003,Clothing,446,344,Low Stock Risk
S004,P0004,Groceries,437,0,OK
S004,P0005,Groceries,397,200,OK
S004,P0006,Electronics,470,382,Low Stock Risk
S004,P0007,Electronics,264,190,Low Stock Risk
S004,P0008,Furniture,250,51,OK
S004,P0009,Furniture,63,40,OK
S004,P0010,Groceries,447,104,OK
S004,P0011,Electronics,205,46,OK
S004,P0012,Electronics,349,9,OK
S004,P0013,Furniture,191,56,OK
S004,P0014,Electronics,406,63,OK
S004,P0015,Clothing,228,181,Low Stock Risk
S004,P0016,Groceries,263,94,OK
S004,P0017,Electronics,203,46,OK
S004,P0018,Groceries,143,8,OK
S004,P0019,Groceries,359,172,OK
S004,P0020,Clothing,211,68,OK
S005,P0001,Toys,111,77,Low Stock Risk
S005,P0002,Clothing,415,298,Low Stock Risk
S005,P0003,Electronics,384,64,OK
S005,P0004,Furniture,436,300,Low Stock Risk
S005,P0005,Clothing,180,21,OK
S005,P0006,Groceries,185,176,Low Stock Risk
S005,P0007,Clothing,292,131,OK
S005,P0008,Toys,478,317,OK
S005,P0009,Groceries,182,97,OK
S005,P0010,Clothing,87,8,OK
S005,P0011,Groceries,427,104,OK
S005,P0012,Electronics,245,87,OK
S005,P0013,Furniture,317,238,Low Stock Risk
S005,P0014,Electronics,325,171,OK
S005,P0015,Furniture,411,250,OK
S005,P0016,Clothing,71,11,OK
S005,P0017,Electronics,388,371,Low Stock Risk
S005,P0018,Furniture,161,107,OK
S005,P0019,Groceries,235,106,OK
S005,P0020,Electronics,108,101,Low Stock Risk
S001,P0001,Groceries,116,81,Low Stock Risk
S001,P0002,Clothing,416,163,OK
S001,P0003,Clothing,488,464,Low Stock Risk
S001,P0004,Groceries,248,116,OK
S001,P0005,Electronics,238,200,Low Stock Risk
S001,P0006,Furniture,471,58,OK
S001,P0007,Electronics,178,56,OK
S001,P0008,Clothing,92,74,Low Stock Risk
S001,P0009,Toys,99,54,OK
S001,P0010,Clothing,171,39,OK
S001,P0011,Furniture,215,12,OK
S001,P0012,Furniture,281,56,OK
S001,P0013,Toys,455,31,OK
S001,P0014,Electronics,84,25,OK
S001,P0015,Electronics,246,198,Low Stock Risk
S001,P0016,Electronics,399,77,OK
S001,P0017,Furniture,242,165,Low Stock Risk
S001,P0018,Toys,478,42,OK
S001,P0019,Furniture,156,8,OK
S001,P0020,Electronics,221,174,Low Stock Risk
S002,P0001,Electronics,402,343,Low Stock Risk
S002,P0002,Furniture,132,71,OK
S002,P0003,Groceries,218,157,Low Stock Risk
S002,P0004,Groceries,131,88,Low Stock Risk
S002,P0005,Groceries,93,64,Low Stock Risk
S002,P0006,Groceries,344,273,Low Stock Risk
S002,P0007,Groceries,340,247,Low Stock Risk
S002,P0008,Electronics,241,42,OK
S002,P0009,Electronics,296,197,OK
S002,P0010,Groceries,472,374,Low Stock Risk
S002,P0011,Furniture,308,154,OK
S002,P0012,Toys,434,236,OK
S002,P0013,Toys,287,278,Low Stock Risk
S002,P0014,Furniture,190,27,OK
S002,P0015,Toys,353,106,OK
S002,P0016,Toys,210,154,Low Stock Risk
S002,P0017,Clothing,193,176,Low Stock Risk
S002,P0018,Groceries,124,124,Low Stock Risk
S002,P0019,Toys,492,479,Low Stock Risk
S002,P0020,Clothing,222,78,OK
S003,P0001,Toys,277,114,OK
S003,P0002,Groceries,175,2,OK
S003,P0003,Toys,157,7,OK
S003,P0004,Furniture,120,54,OK
S003,P0005,Furniture,375,282,Low Stock Risk
S003,P0006,Groceries,302,93,OK
S003,P0007,Electronics,375,85,OK
S003,P0008,Clothing,248,136,OK
S003,P0009,Electronics,219,140,OK
S003,P0010,Furniture,146,79,OK
S003,P0011,Furniture,218,106,OK
S003,P0012,Groceries,260,1,OK
S003,P0013,Electronics,414,203,OK
S003,P0014,Toys,420,368,Low Stock Risk
S003,P0015,Electronics,435,286,OK
S003,P0016,Clothing,230,69,OK
S003,P0017,Toys,456,52,OK
S003,P0018,Toys,319,109,OK
S003,P0019,Furniture,59,50,Low Stock Risk
S003,P0020,Electronics,155,0,OK
S004,P0001,Electronics,144,22,OK
S004,P0002,Electronics,283,45,OK
S004,P0003,Clothing,347,89,OK
S004,P0004,Groceries,410,209,OK
S004,P0005,Toys,99,4,OK
S004,P0006,Toys,97,47,OK
S004,P0007,Furniture,339,115,OK
S004,P0008,Toys,144,27,OK
S004,P0009,Furniture,110,90,Low Stock Risk
S004,P0010,Groceries,348,206,OK
S004,P0011,Toys,458,328,Low Stock Risk
S004,P0012,Groceries,403,155,OK
S004,P0013,Clothing,198,184,Low Stock Risk
S004,P0014,Electronics,472,16,OK
S004,P0015,Toys,178,90,OK
S004,P0016,Clothing,215,178,Low Stock Risk
S004,P0017,Electronics,477,256,OK
S004,P0018,Furniture,198,27,OK
S004,P0019,Groceries,110,67,OK
S004,P0020,Electronics,254,84,OK
S005,P0001,Groceries,223,67,OK
S005,P0002,Furniture,100,15,OK
S005,P0003,Toys,397,333,Low Stock Risk
S005,P0004,Groceries,442,56,OK
S005,P0005,Furniture,411,165,OK
S005,P0006,Clothing,76,54,Low Stock Risk
S005,P0007,Clothing,257,93,OK
S005,P0008,Furniture,353,250,Low Stock Risk
S005,P0009,Electronics,119,90,Low Stock Risk
S005,P0010,Furniture,403,83,OK
S005,P0011,Electronics,60,16,OK
S005,P0012,Toys,182,87,OK
S005,P0013,Furniture,455,241,OK
S005,P0014,Toys,437,286,OK
S005,P0015,Clothing,289,60,OK
S005,P0016,Groceries,487,437,Low Stock Risk
S005,P0017,Toys,418,377,Low Stock Risk
S005,P0018,Clothing,89,83,Low Stock Risk
S005,P0019,Clothing,421,203,OK
S005,P0020,Clothing,211,183,Low Stock Risk
S001,P0001,Electronics,154,5,OK
S001,P0002,Clothing,282,199,Low Stock Risk
S001,P0003,Toys,183,176,Low Stock Risk
S001,P0004,Electronics,239,214,Low Stock Risk
S001,P0005,Groceries,368,165,OK
S001,P0006,Furniture,57,9,OK
S001,P0007,Clothing,460,140,OK
S001,P0008,Groceries,214,177,Low Stock Risk
S001,P0009,Groceries,407,217,OK
S001,P0010,Electronics,51,47,Low Stock Risk
S001,P0011,Groceries,252,3,OK
S001,P0012,Clothing,72,2,OK
S001,P0013,Clothing,194,18,OK
S001,P0014,Toys,302,242,Low Stock Risk
S001,P0015,Toys,330,228,Low Stock Risk
S001,P0016,Clothing,148,31,OK
S001,P0017,Clothing,315,16,OK
S001,P0018,Furniture,97,20,OK
S001,P0019,Furniture,240,193,Low Stock Risk
S001,P0020,Toys,178,118,OK
S002,P0001,Toys,405,96,OK
S002,P0002,Electronics,200,48,OK
S002,P0003,Furniture,327,130,OK
S002,P0004,Groceries,409,11,OK
S002,P0005,Groceries,327,313,Low Stock Risk
S002,P0006,Furniture,388,352,Low Stock Risk
S002,P0007,Toys,483,265,OK
S002,P0008,Furniture,70,11,OK
S002,P0009,Groceries,288,191,OK
S002,P0010,Electronics,270,185,Low Stock Risk
S002,P0011,Clothing,217,143,OK
S002,P0012,Electronics,221,85,OK
S002,P0013,Groceries,303,270,Low Stock Risk
S002,P0014,Groceries,298,233,Low Stock Risk
S002,P0015,Furniture,193,187,Low Stock Risk
S002,P0016,Electronics,205,39,OK
S002,P0017,Toys,427,234,OK
S002,P0018,Clothing,365,213,OK
S002,P0019,Clothing,111,55,OK
S002,P0020,Groceries,271,22,OK
S003,P0001,Clothing,134,100,Low Stock Risk
S003,P0002,Groceries,405,353,Low Stock Risk
S003,P0003,Electronics,290,255,Low Stock Risk
S003,P0004,Clothing,403,154,OK
S003,P0005,Clothing,311,147,OK
S003,P0006,Electronics,448,342,Low Stock Risk
S003,P0007,Furniture,277,54,OK
S003,P0008,Toys,421,289,Low Stock Risk
S003,P0009,Toys,241,179,Low Stock Risk
S003,P0010,Furniture,186,175,Low Stock Risk
S003,P0011,Clothing,413,209,OK
S003,P0012,Toys,112,109,Low Stock Risk
S003,P0013,Groceries,268,43,OK
S003,P0014,Toys,347,58,OK
S003,P0015,Electronics,495,399,Low Stock Risk
S003,P0016,Clothing,324,95,OK
S003,P0017,Clothing,330,296,Low Stock Risk
S003,P0018,Electronics,297,105,OK
S003,P0019,Clothing,169,103,OK
S003,P0020,Toys,257,131,OK
S004,P0001,Groceries,175,66,OK
S004,P0002,Groceries,228,163,Low Stock Risk
S004,P0003,Clothing,188,98,OK
S004,P0004,Groceries,211,150,Low Stock Risk
S004,P0005,Furniture,149,15,OK
S004,P0006,Electronics,383,36,OK
S004,P0007,Electronics,478,303,OK
S004,P0008,Electronics,217,209,Low Stock Risk
S004,P0009,Electronics,73,69,Low Stock Risk
S004,P0010,Electronics,467,143,OK
S004,P0011,Clothing,353,239,Low Stock Risk
S004,P0012,Groceries,471,192,OK
S004,P0013,Clothing,129,23,OK
S004,P0014,Groceries,301,165,OK
S004,P0015,Groceries,423,85,OK
S004,P0016,Groceries,385,79,OK
S004,P0017,Toys,74,33,OK
S004,P0018,Electronics,467,270,OK
S004,P0019,Toys,140,1,OK
S004,P0020,Clothing,197,149,Low Stock Risk
S005,P0001,Groceries,159,3,OK
S005,P0002,Electronics,322,59,OK
S005,P0003,Groceries,106,15,OK
S005,P0004,Groceries,475,351,Low Stock Risk
S005,P0005,Groceries,83,66,Low Stock Risk
S005,P0006,Groceries,117,62,OK
S005,P0007,Clothing,368,77,OK
S005,P0008,Electronics,207,177,Low Stock Risk
S005,P0009,Electronics,398,349,Low Stock Risk
S005,P0010,Groceries,476,74,OK
S005,P0011,Groceries,119,40,OK
S005,P0012,Toys,77,72,Low Stock Risk
S005,P0013,Toys,191,190,Low Stock Risk
S005,P0014,Toys,419,263,OK
S005,P0015,Toys,184,126,Low Stock Risk
S005,P0016,Clothing,361,17,OK
S005,P0017,Toys,154,19,OK
S005,P0018,Toys,376,36,OK
S005,P0019,Toys,268,207,Low Stock Risk
S005,P0020,Toys,451,91,OK
S001,P0001,Groceries,85,58,Low Stock Risk
S001,P0002,Electronics,91,91,Low Stock Risk
S001,P0003,Toys,184,70,OK
S001,P0004,Electronics,209,0,OK
S001,P0005,Electronics,470,32,OK
S001,P0006,Clothing,127,8,OK
S001,P0007,Groceries,367,341,Low Stock Risk
S001,P0008,Electronics,404,347,Low Stock Risk
S001,P0009,Groceries,403,15,OK
S001,P0010,Toys,494,85,OK
S001,P0011,Toys,421,30,OK
S001,P0012,Electronics,150,136,Low Stock Risk
S001,P0013,Toys,94,31,OK
S001,P0014,Clothing,77,7,OK
S001,P0015,Electronics,430,377,Low Stock Risk
S001,P0016,Groceries,168,28,OK
S001,P0017,Toys,353,348,Low Stock Risk
S001,P0018,Groceries,380,258,Low Stock Risk
S001,P0019,Toys,127,41,OK
S001,P0020,Electronics,153,49,OK
S002,P0001,Clothing,108,83,Low Stock Risk
S002,P0002,Furniture,109,60,OK
S002,P0003,Toys,493,448,Low Stock Risk
S002,P0004,Toys,289,11,OK
S002,P0005,Groceries,425,390,Low Stock Risk
S002,P0006,Clothing,118,81,Low Stock Risk
S002,P0007,Electronics,449,121,OK
S002,P0008,Groceries,184,44,OK
S002,P0009,Toys,239,88,OK
S002,P0010,Groceries,216,142,OK
S002,P0011,Toys,291,48,OK
S002,P0012,Electronics,74,61,Low Stock Risk
S002,P0013,Electronics,429,140,OK
S002,P0014,Toys,467,390,Low Stock Risk
S002,P0015,Toys,121,91,Low Stock Risk
S002,P0016,Groceries,134,32,OK
S002,P0017,Electronics,152,60,OK
S002,P0018,Clothing,236,206,Low Stock Risk
S002,P0019,Groceries,253,108,OK
S002,P0020,Furniture,403,349,Low Stock Risk
S003,P0001,Furniture,335,271,Low Stock Risk
S003,P0002,Electronics,293,202,Low Stock Risk
S003,P0003,Toys,169,34,OK
S003,P0004,Clothing,294,165,OK
S003,P0005,Groceries,69,2,OK
S003,P0006,Electronics,328,308,Low Stock Risk
S003,P0007,Toys,173,76,OK
S003,P0008,Toys,108,91,Low Stock Risk
S003,P0009,Furniture,494,113,OK
S003,P0010,Electronics,366,274,Low Stock Risk
S003,P0011,Toys,441,116,OK
S003,P0012,Electronics,181,5,OK
S003,P0013,Furniture,330,115,OK
S003,P0014,Clothing,228,79,OK
S003,P0015,Electronics,344,223,OK
S003,P0016,Furniture,336,258,Low Stock Risk
S003,P0017,Toys,355,236,OK
S003,P0018,Toys,431,309,Low Stock Risk
S003,P0019,Groceries,172,32,OK
S003,P0020,Clothing,145,44,OK
S004,P0001,Furniture,487,145,OK
S004,P0002,Groceries,216,150,Low Stock Risk
S004,P0003,Toys,236,40,OK
S004,P0004,Toys,260,245,Low Stock Risk
S004,P0005,Furniture,435,241,OK
S004,P0006,Groceries,499,138,OK
S004,P0007,Clothing,180,152,Low Stock Risk
S004,P0008,Furniture,128,12,OK
S004,P0009,Furniture,291,158,OK
S004,P0010,Clothing,444,265,OK
S004,P0011,Clothing,281,240,Low Stock Risk
S004,P0012,Toys,189,153,Low Stock Risk
S004,P0013,Groceries,80,68,Low Stock Risk
S004,P0014,Furniture,314,302,Low Stock Risk
S004,P0015,Clothing,167,70,OK
S004,P0016,Groceries,129,92,Low Stock Risk
S004,P0017,Clothing,425,275,OK
S004,P0018,Groceries,103,3,OK
S004,P0019,Groceries,471,307,OK
S004,P0020,Groceries,364,62,OK
S005,P0001,Furniture,383,195,OK
S005,P0002,Furniture,495,33,OK
S005,P0003,Toys,439,263,OK
S005,P0004,Toys,101,83,Low Stock Risk
S005,P0005,Toys,292,78,OK
S005,P0006,Clothing,466,118,OK
S005,P0007,Clothing,175,147,Low Stock Risk
S005,P0008,Furniture,327,216,OK
S005,P0009,Groceries,194,27,OK
S005,P0010,Electronics,349,172,OK
S005,P0011,Toys,237,78,OK
S005,P0012,Clothing,220,196,Low Stock Risk
S005,P0013,Groceries,86,75,Low Stock Risk
S005,P0014,Toys,334,11,OK
S005,P0015,Clothing,186,144,Low Stock Risk
S005,P0016,Electronics,288,200,Low Stock Risk
S005,P0017,Toys,460,256,OK
S005,P0018,Groceries,482,118,OK
S005,P0019,Toys,278,244,Low Stock Risk
S005,P0020,Furniture,128,54,OK
S001,P0001,Groceries,238,147,OK
S001,P0002,Toys,270,220,Low Stock Risk
S001,P0003,Toys,216,97,OK
S001,P0004,Electronics,172,29,OK
S001,P0005,Furniture,405,192,OK
S001,P0006,Toys,338,158,OK
S001,P0007,Groceries,409,8,OK
S001,P0008,Electronics,102,42,OK
S001,P0009,Furniture,433,5,OK
S001,P0010,Furniture,288,93,OK
S001,P0011,Groceries,485,44,OK
S001,P0012,Electronics,414,78,OK
S001,P0013,Toys,370,57,OK
S001,P0014,Toys,233,161,Low Stock Risk
S001,P0015,Toys,272,172,OK
S001,P0016,Groceries,189,132,Low Stock Risk
S001,P0017,Electronics,120,46,OK
S001,P0018,Groceries,248,17,OK
S001,P0019,Electronics,492,38,OK
S001,P0020,Toys,355,11,OK
S002,P0001,Furniture,250,161,OK
S002,P0002,Electronics,182,101,OK
S002,P0003,Electronics,274,263,Low Stock Risk
S002,P0004,Furniture,148,32,OK
S002,P0005,Clothing,241,209,Low Stock Risk
S002,P0006,Groceries,131,24,OK
S002,P0007,Groceries,80,20,OK
S002,P0008,Clothing,483,148,OK
S002,P0009,Toys,228,100,OK
S002,P0010,Toys,202,129,OK
S002,P0011,Furniture,440,257,OK
S002,P0012,Groceries,264,262,Low Stock Risk
S002,P0013,Toys,296,200,Low Stock Risk
S002,P0014,Groceries,201,56,OK
S002,P0015,Clothing,70,24,OK
S002,P0016,Furniture,176,105,OK
S002,P0017,Groceries,399,294,Low Stock Risk
S002,P0018,Groceries,294,142,OK
S002,P0019,Electronics,222,55,OK
S002,P0020,Electronics,123,24,OK
S003,P0001,Electronics,388,53,OK
S003,P0002,Groceries,191,189,Low Stock Risk
S003,P0003,Furniture,370,146,OK
S003,P0004,Furniture,463,186,OK
S003,P0005,Toys,140,77,OK
S003,P0006,Furniture,314,225,Low Stock Risk
S003,P0007,Clothing,79,66,Low Stock Risk
S003,P0008,Electronics,411,35,OK
S003,P0009,Electronics,117,1,OK
S003,P0010,Clothing,109,95,Low Stock Risk
S003,P0011,Electronics,438,255,OK
S003,P0012,Toys,480,132,OK
S003,P0013,Furniture,284,234,Low Stock Risk
S003,P0014,Furniture,444,42,OK
S003,P0015,Furniture,278,25,OK
S003,P0016,Toys,202,30,OK
S003,P0017,Toys,192,28,OK
S003,P0018,Groceries,168,38,OK
S003,P0019,Toys,308,149,OK
S003,P0020,Groceries,286,192,Low Stock Risk
S004,P0001,Toys,201,198,Low Stock Risk
S004,P0002,Electronics,135,83,OK
S004,P0003,Furniture,258,97,OK
S004,P0004,Toys,357,173,OK
S004,P0005,Electronics,387,69,OK
S004,P0006,Furniture,378,256,Low Stock Risk
S004,P0007,Electronics,249,246,Low Stock Risk
S004,P0008,Clothing,448,332,Low Stock Risk
S004,P0009,Toys,348,325,Low Stock Risk
S004,P0010,Groceries,412,53,OK
S004,P0011,Groceries,344,17,OK
S004,P0012,Toys,475,223,OK
S004,P0013,Electronics,400,95,OK
S004,P0014,Toys,424,225,OK
S004,P0015,Groceries,441,216,OK
S004,P0016,Electronics,421,324,Low Stock Risk
S004,P0017,Toys,278,75,OK
S004,P0018,Electronics,319,158,OK
S004,P0019,Electronics,353,55,OK
S004,P0020,Toys,149,131,Low Stock Risk
S005,P0001,Toys,371,74,OK
S005,P0002,Toys,98,59,OK
S005,P0003,Electronics,318,150,OK
S005,P0004,Groceries,200,135,Low Stock Risk
S005,P0005,Toys,299,79,OK
S005,P0006,Groceries,392,62,OK
S005,P0007,Clothing,399,130,OK
S005,P0008,Toys,192,74,OK
S005,P0009,Clothing,149,16,OK
S005,P0010,Furniture,406,342,Low Stock Risk
S005,P0011,Electronics,91,48,OK
S005,P0012,Clothing,228,224,Low Stock Risk
S005,P0013,Electronics,68,64,Low Stock Risk
S005,P0014,Toys,358,322,Low Stock Risk
S005,P0015,Toys,361,264,Low Stock Risk
S005,P0016,Electronics,371,343,Low Stock Risk
S005,P0017,Groceries,231,15,OK
S005,P0018,Toys,269,90,OK
S005,P0019,Clothing,444,143,OK
S005,P0020,Groceries,243,36,OK
S001,P0001,Electronics,198,37,OK
S001,P0002,Furniture,262,230,Low Stock Risk
S001,P0003,Toys,91,58,OK
S001,P0004,Furniture,466,305,OK
S001,P0005,Groceries,129,120,Low Stock Risk
S001,P0006,Toys,57,2,OK
S001,P0007,Electronics,76,35,OK
S001,P0008,Clothing,445,171,OK
S001,P0009,Furniture,277,195,Low Stock Risk
S001,P0010,Clothing,204,97,OK
S001,P0011,Toys,200,177,Low Stock Risk
S001,P0012,Groceries,59,1,OK
S001,P0013,Furniture,185,181,Low Stock Risk
S001,P0014,Furniture,201,100,OK
S001,P0015,Furniture,388,1,OK
S001,P0016,Clothing,481,429,Low Stock Risk
S001,P0017,Electronics,379,26,OK
S001,P0018,Electronics,423,176,OK
S001,P0019,Furniture,66,15,OK
S001,P0020,Clothing,98,2,OK
S002,P0001,Furniture,131,81,OK
S002,P0002,Toys,117,23,OK
S002,P0003,Clothing,71,65,Low Stock Risk
S002,P0004,Groceries,72,62,Low Stock Risk
S002,P0005,Clothing,106,76,Low Stock Risk
S002,P0006,Toys,377,136,OK
S002,P0007,Furniture,469,255,OK
S002,P0008,Groceries,392,244,OK
S002,P0009,Toys,415,173,OK
S002,P0010,Toys,350,330,Low Stock Risk
S002,P0011,Clothing,104,95,Low Stock Risk
S002,P0012,Groceries,223,144,OK
S002,P0013,Groceries,467,350,Low Stock Risk
S002,P0014,Groceries,372,240,OK
S002,P0015,Furniture,224,210,Low Stock Risk
S002,P0016,Furniture,270,59,OK
S002,P0017,Groceries,207,57,OK
S002,P0018,Clothing,120,57,OK
S002,P0019,Electronics,300,283,Low Stock Risk
S002,P0020,Clothing,246,203,Low Stock Risk
S003,P0001,Furniture,223,170,Low Stock Risk
S003,P0002,Electronics,110,30,OK
S003,P0003,Furniture,210,180,Low Stock Risk
S003,P0004,Toys,400,211,OK
S003,P0005,Toys,457,243,OK
S003,P0006,Clothing,285,7,OK
S003,P0007,Furniture,108,9,OK
S003,P0008,Furniture,463,231,OK
S003,P0009,Electronics,60,11,OK
S003,P0010,Clothing,148,18,OK
S003,P0011,Clothing,266,144,OK
S003,P0012,Furniture,111,26,OK
S003,P0013,Toys,479,61,OK
S003,P0014,Furniture,268,80,OK
S003,P0015,Furniture,490,476,Low Stock Risk
S003,P0016,Groceries,385,316,Low Stock Risk
S003,P0017,Toys,409,162,OK
S003,P0018,Furniture,221,51,OK
S003,P0019,Furniture,67,37,OK
S003,P0020,Electronics,283,63,OK
S004,P0001,Groceries,185,101,OK
S004,P0002,Toys,162,105,OK
S004,P0003,Furniture,405,134,OK
S004,P0004,Electronics,50,50,Low Stock Risk
S004,P0005,Furniture,384,220,OK
S004,P0006,Clothing,488,260,OK
S004,P0007,Groceries,129,80,OK
S004,P0008,Clothing,226,167,Low Stock Risk
S004,P0009,Furniture,207,166,Low Stock Risk
S004,P0010,Clothing,490,49,OK
S004,P0011,Electronics,293,26,OK
S004,P0012,Clothing,483,73,OK
S004,P0013,Toys,389,257,OK
S004,P0014,Groceries,126,50,OK
S004,P0015,Furniture,304,49,OK
S004,P0016,Electronics,69,24,OK
S004,P0017,Electronics,220,192,Low Stock Risk
S004,P0018,Electronics,427,47,OK
S004,P0019,Furniture,411,325,Low Stock Risk
S004,P0020,Furniture,261,150,OK
S005,P0001,Clothing,333,195,OK
S005,P0002,Furniture,387,35,OK
S005,P0003,Clothing,186,96,OK
S005,P0004,Electronics,313,219,Low Stock Risk
S005,P0005,Toys,121,14,OK
S005,P0006,Toys,475,14,OK
S005,P0007,Groceries,87,39,OK
S005,P0008,Toys,279,162,OK
S005,P0009,Toys,87,70,Low Stock Risk
S005,P0010,Toys,94,64,Low Stock Risk
S005,P0011,Clothing,248,83,OK
S005,P0012,Groceries,385,171,OK
S005,P0013,Furniture,395,101,OK
S005,P0014,Furniture,134,128,Low Stock Risk
S005,P0015,Electronics,185,7,OK
S005,P0016,Clothing,223,15,OK
S005,P0017,Furniture,495,250,OK
S005,P0018,Furniture,200,192,Low Stock Risk
S005,P0019,Toys,244,149,OK
S005,P0020,Furniture,74,7,OK
S001,P0001,Furniture,195,107,OK
S001,P0002,Clothing,255,115,OK
S001,P0003,Electronics,487,32,OK
S001,P0004,Furniture,339,307,Low Stock Risk
S001,P0005,Clothing,120,92,Low Stock Risk
S001,P0006,Furniture,399,23,OK
S001,P0007,Clothing,461,429,Low Stock Risk
S001,P0008,Clothing,193,64,OK
S001,P0009,Electronics,402,242,OK
S001,P0010,Groceries,438,20,OK
S001,P0011,Clothing,275,102,OK
S001,P0012,Groceries,446,118,OK
S001,P0013,Toys,137,71,OK
S001,P0014,Electronics,189,115,OK
S001,P0015,Electronics,311,128,OK
S001,P0016,Clothing,178,161,Low Stock Risk
S001,P0017,Furniture,299,66,OK
S001,P0018,Toys,109,87,Low Stock Risk
S001,P0019,Toys,159,46,OK
S001,P0020,Electronics,402,124,OK
S002,P0001,Toys,394,150,OK
S002,P0002,Furniture,461,67,OK
S002,P0003,Electronics,85,72,Low Stock Risk
S002,P0004,Groceries,301,114,OK
S002,P0005,Furniture,183,119,OK
S002,P0006,Toys,429,68,OK
S002,P0007,Electronics,263,211,Low Stock Risk
S002,P0008,Toys,74,46,OK
S002,P0009,Groceries,332,117,OK
S002,P0010,Groceries,218,116,OK
S002,P0011,Clothing,272,53,OK
S002,P0012,Toys,365,137,OK
S002,P0013,Furniture,176,143,Low Stock Risk
S002,P0014,Electronics,357,152,OK
S002,P0015,Electronics,288,39,OK
S002,P0016,Furniture,212,211,Low Stock Risk
S002,P0017,Electronics,103,100,Low Stock Risk
S002,P0018,Furniture,222,73,OK
S002,P0019,Groceries,144,122,Low Stock Risk
S002,P0020,Groceries,90,86,Low Stock Risk
S003,P0001,Clothing,388,39,OK
S003,P0002,Furniture,427,145,OK
S003,P0003,Clothing,92,4,OK
S003,P0004,Furniture,121,8,OK
S003,P0005,Toys,340,298,Low Stock Risk
S003,P0006,Electronics,187,175,Low Stock Risk
S003,P0007,Groceries,177,177,Low Stock Risk
S003,P0008,Electronics,172,154,Low Stock Risk
S003,P0009,Furniture,113,24,OK
S003,P0010,Furniture,74,63,Low Stock Risk
S003,P0011,Electronics,391,29,OK
S003,P0012,Clothing,158,52,OK
S003,P0013,Groceries,244,59,OK
S003,P0014,Groceries,135,48,OK
S003,P0015,Toys,270,71,OK
S003,P0016,Electronics,240,86,OK
S003,P0017,Clothing,437,12,OK
S003,P0018,Electronics,394,336,Low Stock Risk
S003,P0019,Furniture,317,35,OK
S003,P0020,Toys,268,20,OK
S004,P0001,Toys,164,13,OK
S004,P0002,Toys,61,46,Low Stock Risk
S004,P0003,Electronics,81,49,OK
S004,P0004,Groceries,146,92,OK
S004,P0005,Clothing,117,108,Low Stock Risk
S004,P0006,Groceries,453,343,Low Stock Risk
S004,P0007,Groceries,182,83,OK
S004,P0008,Toys,231,72,OK
S004,P0009,Clothing,442,186,OK
S004,P0010,Groceries,126,50,OK
S004,P0011,Clothing,88,80,Low Stock Risk
